
CUT,--,,Anirban Lahiri,2,--,--,75,71,--,--,146,203,200,3,
CUT,--,,Doug Ghim,2,--,--,74,72,--,--,146,191,188,3,
CUT,--,,Chris Stroud,2,--,--,76,70,--,--,146,165,160,5,
CUT,--,,Chesson Hadley,2,--,--,74,72,--,--,146,118,110,8,
CUT,--,,Francesco Molinari,2,--,--,79,67,--,--,146,148,139,9,
CUT,--,,Wes Roach,2,--,--,74,72,--,--,146,146,136,10,
CUT,--,,Scott Harrington,2,--,--,76,70,--,--,146,41,36,5,
CUT,--,,Scott Brown,3,--,--,78,69,--,--,147,132,121,11,
CUT,--,,Brendan Steele,3,--,--,74,73,--,--,147,31,29,2,
CUT,--,,Michael Gellerman,3,--,--,70,77,--,--,147,183,180,3,
CUT,--,,Lucas Bjerregaard,3,--,--,78,69,--,--,147,213,211,2,
CUT,--,,Scottie Scheffler,3,--,--,75,72,--,--,147,16,15,1,
CUT,--,,Kyoung-Hoon Lee,3,--,--,73,74,--,--,147,89,83,6,
CUT,--,,Josh Teater,3,--,--,71,76,--,--,147,182,179,3,
CUT,--,,Lanto Griffin,3,--,--,76,71,--,--,147,4,4,--,
CUT,--,,Nelson Ledesma,3,--,--,70,77,--,--,147,202,199,3,
CUT,--,,Nick Watney,4,--,--,72,76,--,--,148,84,76,8,
CUT,--,,Satoshi Kodaira,4,--,--,73,75,--,--,148,194,190,4,
CUT,--,,Ben Martin,4,--,--,72,76,--,--,148,151,141,10,
CUT,--,,Rob Oppenheim,4,--,--,76,72,--,--,148,113,106,7,
CUT,--,,Peter Uihlein,4,--,--,76,72,--,--,148,169,163,6,
CUT,--,,Wyndham Clark,4,--,--,69,79,--,--,148,138,129,9,
CUT,--,,Patton Kizzire,4,--,--,69,79,--,--,148,204,201,3,
CUT,--,,Hank Lebioda,4,--,--,72,76,--,--,148,78,69,9,
CUT,--,,Justin Suh,4,--,--,73,75,--,--,148,--,--,--,
CUT,--,,Kevin Stadler,5,--,--,76,73,--,--,149,T237,T236,1,
CUT,--,,Keith Mitchell,5,--,--,74,75,--,--,149,111,104,7,
CUT,--,,Henrik Norlander,5,--,--,73,76,--,--,149,62,56,6,
CUT,--,,Bo Hoag,5,--,--,78,71,--,--,149,75,64,11,
CUT,--,,Carlos Ortiz,6,--,--,74,76,--,--,150,21,19,2,
CUT,--,,Alex Beach,6,--,--,76,74,--,--,150,--,--,--,
CUT,--,,Seung-Yul Noh,6,--,--,78,72,--,--,150,T237,T236,1,
CUT,--,,Jacob Bergeron,6,--,--,75,75,--,--,150,--,--,--,
CUT,--,,Harry Hall,7,--,--,77,74,--,--,151,--,--,--,
CUT,--,,Sebastián Muñoz,7,--,--,74,77,--,--,151,3,3,--,
CUT,--,,John Senden,8,--,--,76,76,--,--,152,233,233,--,
CUT,--,,Isaiah Salinda,8,--,--,79,73,--,--,152,--,--,--,
CUT,--,,Michael Block,10,--,--,77,77,--,--,154,--,--,--,
CUT,--,,Kramer Hickok,10,--,--,74,80,--,--,154,144,134,10,
CUT,--,,Sepp Straka,11,--,--,79,76,--,--,155,55,50,5,
CUT,--,,Jim Herman,13,--,--,76,81,--,--,157,171,167,4,
CUT,--,,Patrick Martin,13,--,--,82,75,--,--,157,--,--,--,
WD,--,,Danny Lee,E,--,--,79,--,--,--,79,27,25,2,
WD,--,,Hunter Mahan,E,--,--,75,45,--,--,120,T237,T236,1,
