Tournament,Group,Golfer,Current OWGR,Last Week OWGR,End of last year OWGR,Recent Tournament 1,Recent Toounament 1 result,Recent Tournament 2,Recent Toounament 2 result,Recent Tournament 3,Recent Toounament 3 result,Recent Tournament 4,Recent Toounament 4 result
Charles Schwab Challenge,6,C.T. Pan,173,169,145,Valspar Championship,DNP,Wells Fargo Championship,T18,AT&T Byron Nelson,DNP,PGA Championship,DNP
Charles Schwab Challenge,6,Peter Malnati,175,174,168,Valspar Championship,CUT,Wells Fargo Championship,T43,AT&T Byron Nelson,DNP,PGA Championship,CUT
Charles Schwab Challenge,6,Brandon Hagy,177,177,398,Valspar Championship,T60,Wells Fargo Championship,T26,AT&T Byron Nelson,DNP,PGA Championship,DNP
Charles Schwab Challenge,6,Mark Hubbard,180,178,139,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,T34,PGA Championship,DNP
Charles Schwab Challenge,6,Danny Lee,189,186,140,Valspar Championship,T21,Wells Fargo Championship,WD,AT&T Byron Nelson,CUT,PGA Championship,DNP
Charles Schwab Challenge,6,Scott Stallings,192,191,245,Valspar Championship,T29,Wells Fargo Championship,T43,AT&T Byron Nelson,T3,PGA Championship,DNP
Charles Schwab Challenge,6,Scott Piercy,196,195,141,Valspar Championship,CUT,Wells Fargo Championship,T11,AT&T Byron Nelson,CUT,PGA Championship,DNP
Charles Schwab Challenge,6,Hudson Swafford,197,194,194,Valspar Championship,CUT,Wells Fargo Championship,DNP,AT&T Byron Nelson,CUT,PGA Championship,CUT
Charles Schwab Challenge,6,Sung Kang,198,193,86,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,T47,PGA Championship,DNP
Charles Schwab Challenge,6,Kyle Stanley,202,199,243,Valspar Championship,T39,Wells Fargo Championship,T26,AT&T Byron Nelson,DNP,PGA Championship,DNP
Charles Schwab Challenge,6,Sam Ryder,205,205,318,Valspar Championship,CUT,Wells Fargo Championship,CUT,AT&T Byron Nelson,CUT,PGA Championship,DNP
