
CUT,--,,Charles Howell III,-6,--,--,70,68,72,--,210,30,27,3,
CUT,--,,Adam Long,-6,--,--,69,70,71,--,210,26,23,3,
CUT,--,,Patton Kizzire,-6,--,--,72,69,69,--,210,200,195,5,
CUT,--,,Hudson Swafford,-6,--,--,70,67,73,--,210,216,215,1,
CUT,--,,Rob Oppenheim,-6,--,--,73,67,70,--,210,107,96,11,
CUT,--,,Michael Thompson,-6,--,--,70,72,68,--,210,169,164,5,
CUT,--,,Xinjun Zhang,-6,--,--,69,73,68,--,210,44,40,4,
CUT,--,,Seung-Yul Noh,-5,--,--,69,73,69,--,211,T236,T236,--,
CUT,--,,Peter Malnati,-5,--,--,71,71,69,--,211,104,93,11,
CUT,--,,Lucas Bjerregaard,-5,--,--,75,70,66,--,211,210,209,1,
CUT,--,,Kevin Kisner,-5,--,--,74,68,69,--,211,58,54,4,
CUT,--,,Kevin Chappell,-5,--,--,71,72,68,--,211,188,185,3,
CUT,--,,Danny Lee,-5,--,--,70,71,70,--,211,24,21,3,
CUT,--,,Scott Harrington,-5,--,--,71,69,71,--,211,35,33,2,
CUT,--,,Bill Haas,-5,--,--,68,68,75,--,211,192,187,5,
CUT,--,,Akshay Bhatia,-5,--,--,71,71,69,--,211,--,--,--,
CUT,--,,Nelson Ledesma,-5,--,--,70,74,67,--,211,199,194,5,
CUT,--,,Jason Kokrak,-4,--,--,73,69,70,--,212,127,117,10,
CUT,--,,Richy Werenski,-4,--,--,69,73,70,--,212,69,60,9,
CUT,--,,Zach Johnson,-4,--,--,70,72,70,--,212,96,83,13,
CUT,--,,Doug Ghim,-4,--,--,68,70,74,--,212,187,184,3,
CUT,--,,Byeong Hun An,-4,--,--,70,72,70,--,212,22,20,2,
CUT,--,,Stewart Cink,-4,--,--,73,68,71,--,212,113,101,12,
CUT,--,,Brice Garnett,-4,--,--,77,71,64,--,212,97,84,13,
CUT,--,,Vince Covello,-4,--,--,73,69,70,--,212,218,217,1,
CUT,--,,J.J. Spaun,-4,--,--,71,68,73,--,212,185,181,4,
CUT,--,,Brian Gay,-4,--,--,76,68,68,--,212,45,41,4,
CUT,--,,Greg Chalmers,-4,--,--,71,70,71,--,212,T236,T236,--,
CUT,--,,James Hahn,-3,--,--,72,72,69,--,213,175,171,4,
CUT,--,,Austin Cook,-3,--,--,69,72,72,--,213,117,106,11,
CUT,--,,Phil Mickelson,-3,--,--,70,72,71,--,213,159,152,7,
CUT,--,,Aaron Baddeley,-2,--,--,70,71,73,--,214,149,144,5,
CUT,--,,Ryan Armour,-2,--,--,67,75,72,--,214,93,78,15,
CUT,--,,Beau Hossler,-2,--,--,71,73,70,--,214,102,90,12,
CUT,--,,Kramer Hickok,-2,--,--,71,72,71,--,214,134,128,6,
CUT,--,,Kevin Stadler,-1,--,--,70,70,75,--,215,T236,T236,--,
CUT,--,,Billy Horschel,-1,--,--,74,71,70,--,215,54,50,4,
CUT,--,,Joseph Bramlett,-1,--,--,73,70,72,--,215,136,129,7,
CUT,--,,Francesco Molinari,E,--,--,73,71,72,--,216,139,132,7,
CUT,--,,Ricky Barnes,1,--,--,70,71,76,--,217,140,133,7,
CUT,--,,Mark Wilson,1,--,--,69,74,74,--,217,T236,T236,--,
CUT,--,,John Senden,2,--,--,75,74,69,--,218,233,233,--,
CUT,--,,Robert Streb,2,--,--,71,76,71,--,218,95,82,13,
CUT,--,,Charles Reiter (a),2,--,--,75,72,71,--,218,--,--,--,
CUT,--,,Robby Shelton,2,--,--,71,73,74,--,218,52,49,3,
CUT,--,,Sam Saunders,4,--,--,70,72,78,--,220,--,--,--,
CUT,--,,Rafael Campos,4,--,--,73,71,76,--,220,157,151,6,
CUT,--,,Rhein Gibson,5,--,--,72,78,71,--,221,163,157,6,
CUT,--,,Dominic Bozzelli,7,--,--,67,77,79,--,223,112,98,14,
CUT,--,,Scott Brown,7,--,--,74,77,72,--,223,124,113,11,
CUT,--,,Brian Smock,8,--,--,76,73,75,--,224,--,--,--,
CUT,--,,Hunter Mahan,10,--,--,72,77,77,--,226,T236,T236,--,
CUT,--,,Martin Trainer,14,--,--,78,78,74,--,230,197,192,5,
WD,--,,Bo Hoag,E,--,--,71,68,62,--,201,67,58,9,
WD,--,,Ben Crane,E,--,--,71,--,--,--,71,177,172,5,
WD,--,,Nate Lashley,E,--,--,77,--,--,--,77,51,48,3,
WD,--,,Si Woo Kim,E,--,--,87,--,--,--,87,148,143,5,
