RANK,CHANGE,COUNTRY,PLAYER,AVERAGE POINTS,TOTAL POINTS,EVENTS PLAYED
164,-5,THA,WICHANEE MEECHAI,0.81,36.59,45
165,-3,AUS,SARAH KEMP,0.8,40,50
166,-5,SWE,LINNEA STROM,0.8,43.97,55
167,-7,USA,JAYE MARIE GREEN,0.8,43.16,54
168,-4,NOR,MARIANNE SKARPNORD,0.8,35.12,44
169,4,JPN,KOTONE HORI,0.79,39.53,50
170,2,KOR,WOO JEONG KIM,0.79,44.13,56
171,-6,SUI,ALBANE VALENZUELA,0.78,27.44,26
172,-9,KOR,BO AH KIM,0.78,46.82,60
173,-5,JPN,SERENA AOKI,0.78,55.27,71
174,-8,MAS,KELLY TAN,0.77,37.17,48
175,-8,PHI,BIANCA PAGDANGANAN,0.77,27.09,20
176,1,JPN,NOZOMI UETAKE,0.77,35.56,46
177,-6,JPN,SAIKI FUJITA,0.77,49.38,64
178,2,KOR,SE LIN HYUN,0.75,26.24,31
179,-5,KOR,BO MI KWAK,0.74,41.65,56
180,4,KOR,JEE HYUN AHN,0.73,28.39,39
181,-2,THA,PORNANONG PHATLUM,0.72,39.69,55
182,-4,SWE,CAROLINE HEDWALL,0.72,30.86,43
183,-1,KOR,CHAE-YOUNG YOON,0.7,44.63,64
184,-1,KOR,JEONGEUN LEE,0.7,30.6,44
185,-4,KOR,MIN KYUNG CHOI,0.69,39.28,57
186,—,KOR,BO MEE LEE,0.69,40.56,59
187,-2,IND,ADITI ASHOK,0.68,34.93,51
188,2,JPN,MIKI SAKAI,0.68,49.78,73
189,-1,JPN,ASUKA KASHIWABARA,0.68,48.29,71
190,4,CHN,HARUKA MORITA-WANYAOLU,0.67,42.98,64
191,—,JPN,SHINA KANAZAWA,0.67,42.26,63
192,-3,USA,JANE PARK,0.67,26.69,40
193,3,KOR,JIN HEE IM,0.67,30.01,45
194,-2,JPN,SAKI NAGAMINE,0.66,44.46,67
195,-2,GER,OLIVIA COWAN,0.66,24.51,37
196,-9,KOR,JEONG MIN CHO,0.66,38.27,58
197,2,JPN,YUKA YASUDA,0.66,25.72,39
198,-3,KOR,MIN SONG HA,0.65,39.26,60
199,77,JPN,MAO NOZAWA,0.65,37.7,58
200,-3,USA,DANA FINKELSTEIN,0.65,28.5,44
201,-3,PUR,MARIA FERNANDA TORRES,0.64,34.64,54
202,-2,MEX,MARIA FASSI,0.64,24.36,38
203,8,JPN,MAYU HAMADA,0.63,41.2,65
204,-2,RSA,LEE-ANNE PACE,0.63,22.16,35
205,3,KOR,SU JI KIM,0.63,35.66,57
206,-5,KOR,YEUN JUNG SEO,0.62,36.83,59
207,2,KOR,SEUL KI LEE,0.62,21.73,33
208,-5,KOR,AH-REUM HWANG,0.62,41.53,67
209,-2,KOR,JI HEE LEE,0.62,37.18,60
210,-5,KOR,U REE JUN,0.62,35.21,57
211,-7,JPN,HIKARU YOSHIMOTO,0.62,42.57,69
212,-6,KOR,HEE-KYUNG BAE,0.61,40.56,66
213,-3,USA,BRITTANY LANG,0.61,28.74,47
214,7,KOR,EUN WOO CHOI,0.61,34.7,57
215,-3,KOR,JI SUN KANG,0.6,22.69,38
216,—,FIN,SANNA NUUTINEN,0.6,30.42,51
217,2,ESP,NURIA ITURRIOZ,0.59,26.53,45
218,-4,ESP,LUNA SOBRON GALMES,0.59,24.71,42
219,3,JPN,HIKARI TANABE,0.59,31.14,53
220,-5,JPN,HINA ARAKAKI,0.58,39.11,67
221,-8,JPN,SAKI ASAI,0.58,43.04,74
222,-5,KOR,NA-RI LEE,0.58,33.12,57
223,-5,SWE,DANIELA HOLMQVIST,0.58,22.58,39
224,-1,KOR,SEUNG YEON LEE,0.58,35.26,61
225,11,JPN,SHIHO OYAMA,0.57,26.76,47
226,-6,SWE,JULIA ENGSTROM,0.57,20.4,36
