RANK,CHANGE,COUNTRY,PLAYER,AVERAGE POINTS,TOTAL POINTS,EVENTS PLAYED,
245,-3,RSA,NICOLE GARCIA,0.49,21.18,43,☆
246,-2,KOR,HANSOL JI,0.49,28.69,59,☆
247,—,KOR,BOKYEOM PARK,0.48,29.02,60,☆
248,-3,KOR,HYE LIM JO,0.48,27.5,57,☆
249,-3,KOR,SOYI JEONG,0.48,24.54,51,☆
250,-2,KOR,SONGYI AHN,0.48,25.83,54,☆
251,21,ENG,LIZ YOUNG,0.48,23.9,50,☆
252,-3,CHN,WEIWEI ZHANG,0.48,20.03,42,☆
253,—,JPN,HINA ARAKAKI,0.48,30.47,64,☆
254,-3,KOR,GA EUN SONG,0.48,29.47,62,☆
255,3,KOR,MI JEONG JEON,0.46,30.06,65,☆
256,-6,GER,CHIARA NOJA,0.46,16.13,30,☆
257,19,KOR,HYO JOON JANG,0.46,16.12,30,☆
258,-1,IND,PRANAVI URS,0.45,15.9,21,☆
259,-3,SWE,MOA FOLKE,0.45,21.26,47,☆
260,4,JPN,HANA WAKIMOTO,0.45,30.83,69,☆
261,—,JPN,HARUKA KUDO,0.45,26.78,60,☆
262,-8,MEX,ISABELLA FIERRO,0.45,16.94,38,☆
263,—,KOR,A YEAN CHO,0.44,26.23,59,☆
264,-4,JPN,KOTOKO UCHIDA,0.44,30.67,69,☆
265,158,CZE,JANA MELICHOVA,0.44,20.41,46,☆
266,-7,JPN,KANA NAGAI,0.44,32.25,73,☆
267,33,PHI,DOTTIE ARDINA,0.44,18.55,42,☆
268,—,KOR,SUYEON JANG,0.44,23.77,54,☆
269,-14,DEN,SMILLA TARNING SOENDERBY,0.44,16.24,37,☆
270,-4,USA,GINA KIM,0.44,20.53,47,☆
271,-2,KOR,JIWON HAN,0.43,20.8,48,☆
272,-7,ENG,MELISSA REID,0.43,15.16,26,☆
273,5,WAL,CHLOE WILLIAMS,0.43,19.45,45,☆
274,-4,KOR,SE LIN HYUN,0.43,26.79,62,☆
275,11,CZE,SARA KOUSKOVA,0.43,19.87,46,☆
276,-5,GER,HELEN BRIEM,0.43,15.08,8,☆
277,70,SUI,KIM METRAUX,0.43,19.31,45,☆
278,-4,KOR,SOO BIN JOO,0.43,15,29,☆
279,82,TPE,SSU-CHIA CHENG,0.43,20.51,48,☆
280,43,JPN,KANA MIKASHIMA,0.43,27.68,65,☆
281,-6,KOR,CHAEEUN2 LEE,0.42,25.79,61,☆
282,-15,THA,PAVARISA YOKTUAN,0.42,17.61,42,☆
283,-10,AUS,CASSIE PORTER,0.42,16.75,40,☆
284,-7,KOR,SO YI KIM,0.42,23.72,57,☆
285,71,USA,LAUREN STEPHENSON,0.41,17.3,42,☆
286,-6,JPN,SAKI NAGAMINE,0.41,27.09,66,☆
287,-8,SUI,ELENA MOOSMANN,0.41,16.34,40,☆
288,-3,FRA,AGATHE SAUZON,0.41,21.13,52,☆
289,-1,KOR,JISU KIM,0.41,25.13,62,☆
290,35,ESP,FATIMA FERNANDEZ CANO,0.4,14.17,28,☆
291,3,KOR,SUJIN3 LEE,0.4,14.94,37,☆
292,-9,SWE,PERNILLA LINDBERG,0.4,17.3,43,☆
293,-12,USA,MINA HARIGAE,0.4,16.06,40,☆
294,-10,USA,AMANDA DOHERTY,0.4,16.42,41,☆
295,-13,JPN,KAREN FUJITA,0.4,20.41,51,☆
296,-3,NZL,MOMOKA KOBORI,0.4,20.59,52,☆
297,-7,KOR,JEONGEUN LEE5,0.39,13.73,30,☆
298,-7,MAR,INES LAKLALECH,0.39,13.72,32,☆
299,6,CAN,ALENA SHARP,0.39,14.48,37,☆
300,-4,KOR,HEE JI KIM,0.39,24.21,62,☆
301,-14,FIN,URSULA WIKSTROM,0.39,19.12,49,☆
302,-13,USA,CYDNEY CLANTON,0.39,14.72,38,☆
303,-4,SLO,ANA BELAC,0.38,15.78,41,☆
304,-9,JPN,MISAKI MIYAZAWA,0.38,25.65,67,☆
305,-13,SWE,LISA PETTERSSON,0.38,19.14,50,☆
306,-8,TPE,JULIANA HUNG,0.38,15.67,41,☆
307,-10,AUT,SARAH SCHOBER,0.38,14.67,39,☆
308,-4,FIN,NOORA KOMULAINEN,0.37,16.09,43,☆
309,1,JPN,RITSUKO RYU,0.37,25.75,69,☆
310,-4,NZL,FIONA XU,0.37,13.05,17,☆
311,-9,MAS,ASHLEY LAU,0.37,14.53,39,☆
312,40,THA,CHANOKNAN ANGURASARANEE,0.37,16.33,44,☆
313,-10,GER,CAROLINE MASSON,0.37,12.93,20,☆
314,-5,JPN,YUNA TAKAGI,0.37,12.93,30,☆
315,-8,USA,ANGELA STANFORD,0.37,12.93,28,☆
316,-5,KOR,YEBEEN SOHN,0.37,22.15,60,☆
317,-2,JPN,NARUHA MIYATA,0.37,21.77,59,☆
318,6,CHN,MICHELLE ZHANG,0.37,12.81,30,☆
319,-6,JPN,MIYU GOTO,0.37,25.55,70,☆
320,-8,KOR,MINA YOON,0.36,17.14,47,☆
321,-20,KOR,CHELLA CHOI,0.36,12.76,24,☆
322,-5,ESP,LUNA SOBRON GALMES,0.36,16.29,45,☆
323,-3,JPN,REIKA ARAKAWA,0.36,13.36,37,☆
324,-16,NOR,MADELENE STAVNAR,0.36,15.85,44,☆
325,-9,ENG,HANNAH SCREEN,0.36,12.59,25,☆
326,-12,JPN,HINAKO YAMAUCHI,0.36,22.62,63,☆
327,-9,KOR,JIHYUN KIM,0.36,21.12,59,☆
328,34,NOR,DORTHEA FORBRIGD,0.35,12.38,35,☆
329,-3,JPN,MIYU SATO,0.35,26.16,75,☆
330,-9,JPN,MAYU HAMADA,0.35,21.62,62,☆
331,-3,FRA,CELINE HERBIN,0.35,16.99,49,☆
332,-5,ENG,ELEANOR GIVENS,0.34,14.13,41,☆
333,-14,NED,DEWI WEBER,0.34,12.94,38,☆
